Country, Sum_of_ship
Argentina,	25
Belgium,	1
Brazil,	8
Bulgaria,	1
Chile,	21
China,	12
Colombia,	2
Cuba,	2
Egypt,	3
Finland,	3
France,	46
Greece,	17
Japan,	96
Nazi Germany,	440
Netherlands,	28
Poland,	11
Italy,	38
Romania,	15
Australia,	14
Canada,	193
Denmark,	7
India,	39
UK,	790
New Zealand,	4
Norway,	12
Thailand,	2
Yugoslavia,	5
South Africa,	3
USSR,	16
Sweden,	9
US,	637
Grand Total,	2500
