Country, Sum of Number Built
Argentina,	1
Australia,	5
Belgium,	3
Brazil,	2
Bulgaria,	6
Canada,	9
China,	1
Czechoslovakia,	56
Denmark,	2
Estonia,	1
Finland,	8
France,	3912
Nazi Germany,	58446
Hungary,	5
Italy,	8378
Japan,	20845
Latvia,	1
Lithuania,	1
Netherlands,	52
Norway,	3
Poland,	262
Romania,	149
Slovakia,	1
Sweden,	3
Thailand,	2
Turkey,	1
UK,	114740
US,	133387
USSR,	57556
Yugoslavia,	13
Grand Total,	397853
